gene,source_logreg,source_shap,in_logreg,in_shap
1316_at,logreg,,True,False
215811_at,logreg,,True,False
215991_s_at,logreg,,True,False
216101_at,logreg,,True,False
216232_s_at,logreg,,True,False
217546_at,logreg,,True,False
217941_s_at,logreg,,True,False
218204_s_at,logreg,,True,False
218251_at,logreg,,True,False
218263_s_at,logreg,,True,False
218310_at,logreg,,True,False
218653_at,logreg,,True,False
218735_s_at,logreg,,True,False
218763_at,logreg,,True,False
219097_x_at,logreg,,True,False
219193_at,logreg,,True,False
219255_x_at,logreg,,True,False
219445_at,logreg,,True,False
219463_at,logreg,,True,False
219543_at,logreg,,True,False
219833_s_at,logreg,,True,False
220040_x_at,logreg,,True,False
220155_s_at,logreg,,True,False
220329_s_at,logreg,,True,False
221899_at,logreg,,True,False
222264_at,logreg,,True,False
222282_at,logreg,,True,False
222409_at,logreg,,True,False
222513_s_at,logreg,,True,False
222548_s_at,logreg,,True,False
222614_at,logreg,,True,False
222759_at,logreg,,True,False
222809_x_at,logreg,,True,False
222902_s_at,logreg,,True,False
222983_s_at,logreg,,True,False
222997_s_at,logreg,,True,False
223002_s_at,logreg,,True,False
223011_s_at,logreg,,True,False
223082_at,logreg,,True,False
223124_s_at,logreg,,True,False
223211_at,logreg,,True,False
223219_s_at,logreg,,True,False
223319_at,logreg,,True,False
223450_s_at,logreg,,True,False
223650_s_at,logreg,,True,False
223701_s_at,logreg,,True,False
223964_x_at,logreg,,True,False
224156_x_at,logreg,,True,False
224280_s_at,logreg,,True,False
224331_s_at,logreg,,True,False
224366_s_at,logreg,,True,False
224368_s_at,logreg,,True,False
224410_s_at,logreg,,True,False
224414_s_at,logreg,,True,False
224726_at,logreg,,True,False
224774_s_at,logreg,,True,False
225044_at,logreg,,True,False
225063_at,logreg,,True,False
225234_at,logreg,,True,False
225237_s_at,logreg,,True,False
225368_at,logreg,,True,False
225489_at,logreg,,True,False
225493_at,logreg,,True,False
225719_s_at,logreg,,True,False
225733_at,logreg,,True,False
225741_at,logreg,,True,False
225742_at,logreg,,True,False
226360_at,logreg,,True,False
226428_at,logreg,,True,False
226648_at,logreg,,True,False
226876_at,logreg,,True,False
226879_at,logreg,,True,False
227051_at,logreg,,True,False
227068_at,logreg,,True,False
227084_at,logreg,,True,False
227260_at,logreg,,True,False
227321_at,logreg,,True,False
227365_at,logreg,,True,False
227404_s_at,logreg,,True,False
227730_at,logreg,,True,False
227847_at,logreg,,True,False
227959_at,logreg,,True,False
228059_x_at,logreg,,True,False
228556_at,logreg,,True,False
228581_at,logreg,,True,False
228686_at,logreg,,True,False
228774_at,logreg,,True,False
238468_at,logreg,,True,False
241008_at,logreg,,True,False
241216_at,logreg,,True,False
241762_at,logreg,,True,False
242299_at,logreg,,True,False
242320_at,logreg,,True,False
