gene,F_score,p_value
242673_at,36.28529617399771,5.663223053609686e-08
236338_at,36.22633157157623,5.780354936841452e-08
217941_s_at,36.22051505071044,5.7920434213141856e-08
209251_x_at,36.197945844692576,5.837627393681931e-08
1561778_at,36.12164399396848,5.994485962120351e-08
208623_s_at,36.0828647254684,6.075860492863132e-08
225742_at,35.9989713483128,6.255809693672946e-08
234981_x_at,35.835402093340434,6.622578858698567e-08
205273_s_at,35.70834557139144,6.922679548962765e-08
234762_x_at,35.69765907867254,6.948549245346796e-08
213726_x_at,35.68624625858043,6.976286943579812e-08
238058_at,35.671720306360065,7.011755442377546e-08
207232_s_at,35.566950862688756,7.273124789824009e-08
237040_at,35.400197414534695,7.709956037192828e-08
210949_s_at,35.39264308665285,7.73037240881075e-08
234989_at,35.33228895670381,7.895494043797518e-08
231015_at,35.27526912191253,8.054823644063835e-08
210976_s_at,35.22537192119763,8.196960443584159e-08
236610_at,35.18380004734578,8.317348972048956e-08
1554595_at,35.16706670987596,8.366318772141182e-08
241786_at,35.09945670951968,8.567214739715947e-08
200065_s_at,35.096182436833594,8.577068829076127e-08
200629_at,35.08452623741175,8.612243389447106e-08
225239_at,35.07019961983168,8.655679549077502e-08
220796_x_at,35.053805152163946,8.705661441973302e-08
213045_at,35.04308274295153,8.738511240780522e-08
243431_at,34.98075138111044,8.932012233336976e-08
202257_s_at,34.965474461984655,8.980106124550494e-08
203146_s_at,34.86436821410554,9.305184462568735e-08
205551_at,34.78628445052818,9.564501204482129e-08
201632_at,34.553695393876644,1.0381834505714176e-07
204355_at,34.519821504392056,1.050672316474115e-07
224254_x_at,34.513940905610866,1.0528560959349748e-07
202838_at,34.49641117882693,1.059393535477074e-07
213195_at,34.4631559479137,1.0719104374706794e-07
221772_s_at,34.43762839038827,1.0816217736599032e-07
214594_x_at,34.4267344151182,1.0857936041396355e-07
222474_s_at,34.32683301129526,1.1248305178649486e-07
230629_s_at,34.2866056120335,1.1409542424570207e-07
226806_s_at,34.26237972336013,1.1507787393101159e-07
209258_s_at,34.23745691262469,1.1609766204646029e-07
208678_at,34.17628719661914,1.1864015507579336e-07
212736_at,34.17564712421953,1.1866705982502662e-07
232795_at,34.16510306254716,1.191111715790113e-07
214902_x_at,34.13362985444235,1.2044699729952753e-07
230411_at,34.12706969967464,1.2072736528242113e-07
237475_x_at,34.08948356496217,1.2234670291349995e-07
211714_x_at,34.05945483840205,1.236564737175373e-07
233319_x_at,33.944878140906404,1.287878348556544e-07
219193_at,33.936206404695675,1.291850021584435e-07
213646_x_at,33.93108794438608,1.2942001924712405e-07
1559391_s_at,33.85113504686199,1.3314868243332335e-07
202712_s_at,33.8337076655819,1.3397597326827282e-07
244045_at,33.81065111078343,1.350786101596851e-07
212532_s_at,33.810052813776,1.3510734642858274e-07
222125_s_at,33.7956314425101,1.3580191061611195e-07
1561362_at,33.731955517254455,1.3891283080543676e-07
1562529_s_at,33.722329342664985,1.3938945637301652e-07
209265_s_at,33.69241356794643,1.40881447271363e-07
236704_at,33.674581243347795,1.4177859777414545e-07
244040_at,33.63998534808323,1.4353591338377064e-07
200647_x_at,33.504896623489984,1.5061498802727963e-07
200039_s_at,33.36084955998663,1.5855980495227016e-07
220155_s_at,33.29241658458921,1.6248387068017002e-07
1568604_a_at,33.29143185465953,1.625410595767121e-07
241226_at,33.140453289499895,1.715586724203669e-07
1554116_s_at,33.12471251667505,1.7252797223025084e-07
231281_at,33.06623346103982,1.761786238158298e-07
207365_x_at,33.0541651816694,1.7694183679135166e-07
233506_at,33.052958109279835,1.7701836025472794e-07
201387_s_at,32.887225432669574,1.878548969866273e-07
208977_x_at,32.8723974664104,1.8885708436986395e-07
221476_s_at,32.84365106771324,1.9081566918250518e-07
201892_s_at,32.79854946356155,1.939307587843419e-07
218953_s_at,32.789839064179866,1.94538368015121e-07
209755_at,32.77514508396672,1.9556781072033224e-07
206792_x_at,32.773708554557544,1.9566875224254498e-07
212361_s_at,32.773459615368616,1.9568625005345464e-07
209026_x_at,32.6628663871343,2.036211024330433e-07
226062_x_at,32.62969218571712,2.060652037405509e-07
214924_s_at,32.53757166280243,2.1301152769812731e-07
232266_x_at,32.513558734613795,2.1486145561416825e-07
243442_x_at,32.421431637619285,2.2211339911734992e-07
240765_at,32.21333354315173,2.3943494003753065e-07
221449_s_at,32.212179423788626,2.3953478378891597e-07
208704_x_at,32.04765636000739,2.542149225698906e-07
1558678_s_at,32.04361080209391,2.545873321563206e-07
240636_at,32.03180720808905,2.5567710782464567e-07
210425_x_at,31.880693137669372,2.700601476994125e-07
226086_at,31.757069256837273,2.824439385398235e-07
214295_at,31.70744015256819,2.8757829257539396e-07
244753_at,31.69285219981515,2.8910565395758873e-07
211464_x_at,31.669709314201214,2.915458468842864e-07
220615_s_at,31.639337063326277,2.947804681953836e-07
230296_at,31.621121300604912,2.9673810741601426e-07
238851_at,31.620391025926395,2.9681686772660794e-07
204229_at,31.618956735270864,2.969716188930904e-07
206562_s_at,31.41918071323008,3.1935747514317723e-07
213486_at,31.319152091627736,3.3121078986972773e-07
212266_s_at,31.31585152212735,3.3160952437596517e-07
210640_s_at,31.293620537668755,3.34308086913067e-07
213789_at,31.172515652776482,3.4941032523657076e-07
1555272_at,31.07921863131179,3.615219437161458e-07
221504_s_at,31.051662328619912,3.6518118148550646e-07
201614_s_at,31.047412673017302,3.6574887823285985e-07
244646_at,31.03519731722395,3.6738574233071324e-07
220113_x_at,31.015768476955746,3.700047475042949e-07
1556364_at,30.97995817788216,3.7488237575365754e-07
224163_s_at,30.966820876909786,3.7668830363582185e-07
239179_at,30.96577865965747,3.768319550690612e-07
239035_at,30.93300170501553,3.813785383709122e-07
223206_s_at,30.923280873827427,3.82737755597867e-07
211058_x_at,30.916392990110594,3.837038689099473e-07
200640_at,30.91537593846601,3.8384673560876925e-07
244341_at,30.888930052691382,3.875808876799873e-07
201519_at,30.876058103112026,3.8941189502001823e-07
